Male,India,31,Software Developer/Software Engineer,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,Romania,45,Software Developer/Software Engineer,Python,Doctoral degree,Computer Science,1 to 2 years,High school
Male,Greece,42,Data Scientist,Python,Doctoral degree,Physics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,United States,29,,SQL,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,India,35,Data Analyst,R,Master's degree,Engineering (non-computer focused),More than 10 years,A professional degree
Male,Japan,45,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Other,28,Programmer,Python,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,Primary/elementary school
Male,Denmark,34,Business Analyst,R,Master's degree,,3 to 5 years,A professional degree
Female,Iran,26,Data Scientist,Python,Master's degree,"Information technology, networking, or system administration",3 to 5 years,High school
Female,Russia,35,Data Scientist,Python,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Russia,26,Scientist/Researcher,Python,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,A professional degree
Female,Germany,29,Software Developer/Software Engineer,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Female,Russia,32,Scientist/Researcher,Python,Doctoral degree,Computer Science,More than 10 years,A professional degree
Male,India,23,Business Analyst,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,India,21,Data Scientist,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Other,29,Data Analyst,R,Master's degree,Mathematics or statistics,1 to 2 years,A professional degree
Male,Germany,38,Business Analyst,R,Master's degree,,3 to 5 years,A professional degree
Male,Australia,29,,,,,,
Male,People 's Republic of China,16,,Python,I prefer not to answer,Computer Science,,A master's degree
Male,France,36,,Python,Doctoral degree,Physics,3 to 5 years,Primary/elementary school
Male,Japan,50,Engineer,R,Doctoral degree,Physics,3 to 5 years,I prefer not to answer
Female,Japan,31,Scientist/Researcher,Matlab,Professional degree,,3 to 5 years,A bachelor's degree
Male,Germany,33,Business Analyst,Python,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,Germany,35,,,,,,
Male,Portugal,32,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,High school
Male,Poland,38,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,France,29,Scientist/Researcher,Python,Doctoral degree,A health science,6 to 10 years,High school
Male,United Kingdom,34,Statistician,Python,Doctoral degree,Computer Science,6 to 10 years,A bachelor's degree
Male,Hong Kong,25,,,,,,
Male,New Zealand,39,Business Analyst,Python,Master's degree,Computer Science,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Belgium,17,,Python,I did not complete any formal education past high school,,,A doctoral degree
Male,Portugal,39,Data Scientist,Python,Master's degree,Management information systems,3 to 5 years,A bachelor's degree
Male,Japan,39,Researcher,Python,Master's degree,Computer Science,More than 10 years,High school
Male,Germany,33,Researcher,Python,Doctoral degree,Computer Science,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Ireland,36,Data Miner,R,Master's degree,Physics,More than 10 years,"Some college/university study, no bachelor's degree"
Male,People 's Republic of China,18,,Python,Bachelor's degree,"Information technology, networking, or system administration",,A doctoral degree
Male,Netherlands,22,Software Developer/Software Engineer,Matlab,Bachelor's degree,Other,1 to 2 years,A bachelor's degree
Male,Italy,42,Researcher,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,High school
Male,India,29,Data Analyst,R,Bachelor's degree,Computer Science,1 to 2 years,A doctoral degree
Male,Australia,37,,Python,Bachelor's degree,Computer Science,More than 10 years,
Male,Other,39,,Java,Master's degree,Computer Science,,
Male,Canada,19,Software Developer/Software Engineer,Python,I did not complete any formal education past high school,,Less than a year,A bachelor's degree
Female,India,24,Data Analyst,SQL,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,Switzerland,45,Business Analyst,R,Bachelor's degree,"Information technology, networking, or system administration",More than 10 years,
Male,Denmark,24,Software Developer/Software Engineer,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,I don't know/not sure
Male,Singapore,36,Other,R,Master's degree,,6 to 10 years,A professional degree
Male,Republic of China,31,Machine Learning Engineer,Python,Doctoral degree,Electrical Engineering,3 to 5 years,
Male,United States,,Business Analyst,R,Master's degree,,3 to 5 years,A master's degree
Female,Spain,33,,C/C++/C#,Professional degree,,,A master's degree
Male,Other,25,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,A bachelor's degree
Male,Malaysia,21,,C/C++/C#,Bachelor's degree,Other,,High school
Male,Taiwan,40,Business Analyst,R,Master's degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Female,United States,22,Other,Python,Bachelor's degree,,1 to 2 years,A master's degree
Male,United States,39,Researcher,R,Doctoral degree,Mathematics or statistics,More than 10 years,High school
Male,United States,36,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,A professional degree
Female,Egypt,23,,Python,Bachelor's degree,Computer Science,Less than a year,
Male,United States,33,Data Scientist,Python,Master's degree,Biology,6 to 10 years,A bachelor's degree
Male,Germany,55,Machine Learning Engineer,Python,Master's degree,Computer Science,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,India,20,,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,Italy,63,Scientist/Researcher,Python,Master's degree,Mathematics or statistics,More than 10 years,High school
Male,India,32,Data Scientist,R,Master's degree,,6 to 10 years,A bachelor's degree
Male,Portugal,24,Data Scientist,SQL,Master's degree,Computer Science,3 to 5 years,High school
Male,United States,44,Machine Learning Engineer,SQL,Some college/university study without earning a bachelor's degree,Mathematics or statistics,3 to 5 years,
Male,Nigeria,24,Business Analyst,Python,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,Egypt,31,Other,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,United States,28,,Python,Bachelor's degree,Biology,,Primary/elementary school
Male,Taiwan,34,Machine Learning Engineer,Python,Master's degree,Management information systems,3 to 5 years,A master's degree
Female,People 's Republic of China,26,Data Analyst,R,Professional degree,,1 to 2 years,
Female,Japan,23,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,21,,C/C++/C#,Bachelor's degree,Computer Science,,A bachelor's degree
Female,People 's Republic of China,30,,R,Bachelor's degree,Computer Science,,"Some college/university study, no bachelor's degree"
Male,United States,24,,Python,Master's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,Other,41,Other,R,Master's degree,Mathematics or statistics,6 to 10 years,A doctoral degree
Male,United States,31,Programmer,Python,Master's degree,Computer Science,I don't write code to analyze data,"Some college/university study, no bachelor's degree"
Male,United States,31,Data Analyst,R,Bachelor's degree,Mathematics or statistics,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Finland,30,Scientist/Researcher,Python,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Ukraine,33,Data Scientist,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Poland,37,Engineer,R,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Male,United States,23,Machine Learning Engineer,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,United States,31,Software Developer/Software Engineer,Python,Master's degree,"Information technology, networking, or system administration",1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,25,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,25,Data Scientist,Python,Master's degree,"Information technology, networking, or system administration",1 to 2 years,A bachelor's degree
Male,Nigeria,30,Data Scientist,Python,Bachelor's degree,Other,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,44,,Python,Bachelor's degree,Computer Science,More than 10 years,High school
Female,United States,28,Software Developer/Software Engineer,Python,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,24,Software Developer/Software Engineer,Scala,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Chile,29,,R,Master's degree,Other,Less than a year,A bachelor's degree
Male,Other,39,Statistician,R,Master's degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
,,,Predictive Modeler,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,A doctoral degree
Male,United States,33,Data Scientist,Python,Doctoral degree,Physics,6 to 10 years,A bachelor's degree
Male,Germany,38,,,,,,
Male,Kenya,22,Programmer,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Less than a year,A bachelor's degree
Male,Spain,47,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,India,21,Data Scientist,Python,Bachelor's degree,Other,1 to 2 years,
Male,Philippines,45,Researcher,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Female,United States,43,Engineer,Python,Doctoral degree,Physics,3 to 5 years,High school
Male,Colombia,25,Data Scientist,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,United States,26,Data Scientist,Python,Bachelor's degree,Physics,1 to 2 years,A bachelor's degree
Female,Iran,44,Researcher,R,Doctoral degree,Computer Science,1 to 2 years,I prefer not to answer
Male,Other,42,Business Analyst,R,Master's degree,Computer Science,6 to 10 years,
Male,United States,45,,,,,,
Male,Ireland,21,Data Scientist,Python,Bachelor's degree,Physics,1 to 2 years,A master's degree
Female,United States,40,Engineer,Python,Master's degree,Electrical Engineering,More than 10 years,A bachelor's degree
Male,United States,25,Predictive Modeler,Python,Master's degree,A social science,1 to 2 years,A master's degree
Female,Ireland,49,Scientist/Researcher,Python,Doctoral degree,Biology,1 to 2 years,High school
Male,United States,37,Programmer,Python,Professional degree,,I don't write code to analyze data,
Male,Germany,41,Other,Python,Bachelor's degree,Computer Science,6 to 10 years,A doctoral degree
Male,Other,24,Data Analyst,Python,Bachelor's degree,Computer Science,1 to 2 years,Primary/elementary school
Female,Other,22,Predictive Modeler,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,34,Scientist/Researcher,R,Doctoral degree,Psychology,More than 10 years,A bachelor's degree
Female,Germany,37,,,,,,
Male,Czech Republic,57,Scientist/Researcher,Matlab,Doctoral degree,A health science,More than 10 years,A doctoral degree
Male,Brazil,22,Programmer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,High school
